Grus grus
Ciconia ciconia
Ardea cinerea
Ardea alba
Alauda arvensis
Emberiza citrinella
Vanellus vanellus
Circus aeruginosus
Passer montanus
Motacilla alba
Phoenicurus phoenicurus
Phoenicurus ochruros
Parus major
Cyanistes caeruleus
Turdus merula
Columba palumbus
Columba livia
Corvus cornix
Corvus monedula
Pica pica
Apus apus
Anas platyrhynchos
Cygnus olor
Chroicocephalus ridibundus
Dendrocopos major
Fringilla coelebs
Garrulus glandarius
